微博id,微博正文,头条文章url,原始图片url,微博视频url,发布位置,发布时间,发布工具,点赞数,转发数,评论数
JBh4jrJKo,我校将开设男同学专业——GrandpaFranka  ,,无,无,无,2021-01-02 08:33,微博 weibo.com,1819,25,69
JBe7oc8pE,我长大了想当资本家，爷爷奶奶可高兴了，给我最喜欢的人血馒头吃 ——半灵-妖梦  ,,无,无,无,2021-01-02 01:02,微博 weibo.com,2948,96,108
JBcyArG1h,“节约用水，从点滴做起。”王医生对护士说“这瓶生理盐水只用一半”——@光光不反光0131  ,,无,无,无,2021-01-01 21:03,病床底下的Android,973,20,30
JBbEAbus9,"春天到了，她缓缓拉开裙子,露出长长的生殖器——这就是开花的全过程。——@泛黄有我泛黄的理由  ",,无,无,无,2021-01-01 18:45,病床底下的Android,4276,297,139
JBazcs3vK,武则天的后宫又称机房——@聪明的王菠萝  ,,无,无,无,2021-01-01 15:59,病床底下的Android,1588,5,57
JBaveDf3E,”伤疤，是男人的象征！”净事房总管对新来的人说道。——@没有青春的二  ,,无,无,无,2021-01-01 15:50,病床底下的Android,1223,12,41
JB9YWBjON,“不要点心。”挑食的小明对正在点菜的食人族爸爸说道。——@没有青春的二  ,,无,无,无,2021-01-01 14:30,病床底下的Android,1575,22,49
JB9Ue8AuG,小荷才露尖尖角，大荷不露——@极其护短-  ,,无,无,无,2021-01-01 14:18,病床底下的Android,1598,28,66
JB9SiaozN,我发现胆子大的人不会迷路，因为敢问路在何方。——@没有青春的二  ,,无,无,无,2021-01-01 14:14,病床底下的Android,916,18,32
JB9FofqxP,小番茄和番茄酱其实是同义词——@醉心科研和赚钱的小王吧  ,,无,无,无,2021-01-01 13:42,病床底下的Android,1480,66,78
JB9p9c8pk,由于不吐不快，小明一边吐一边拿下来了100米短跑冠军。 ——@中二星黛露  ,,无,无,无,2021-01-01 13:02,病床底下的Android,1036,15,50
JB9ircivx,我们开了有关弗洛伊德人格理论中:本我、自我、超我这三门课。如果感兴趣的话，欢迎大家来超我。——@新之助和破坏球都有屁屁神功  ,,无,无,无,2021-01-01 12:45,病床底下的Android,663,24,49
JB975ikwD,午安是要午睡的意思，那么晚安就是要晚睡的意思。——@勿念茜安  ,,无,无,无,2021-01-01 12:17,病床底下的Android,1305,95,57
JB4gBmUsP,小明虔诚祈祷愿意用十年寿命换彩票头奖被提示余额不足——@王宝汉  ,,无,无,无,2020-12-31 23:57,病床底下的Android,1013,20,39
JB3Z6lcqv,1000个食人族心中有1000种哈姆雷特的味道——@王宝汉  ,,无,无,无,2020-12-31 23:14,病床底下的Android,503,9,26
JB3N9hJ4I,合就是把多个变一个，合作就是把多个人的工作变成一个人的工作。——@AKA周树人在线找猹  ,,无,无,无,2020-12-31 22:45,病床底下的Android,941,63,31
JB3G1uVaK,食人族浏览人人网是不是跟我们浏览美团时候一个心情——@王宝汉  ,,无,无,无,2020-12-31 22:27,病床底下的Android,879,9,28
JB3nZ4QHq,现代医学技术无法治愈病句，传统教育方法难以拯救文盲——@Re做梦厨  ,,无,无,无,2020-12-31 21:43,病床底下的Android,776,28,35
JB3a1f38E,只要你不尴尬，尴尬的就不是你——@红鼻了小黑  ,,无,无,无,2020-12-31 21:08,病床底下的Android,1122,12,54
JB2VwmTSG,《盘点美国最乱的50个州》——@王宝汉  ,,无,无,无,2020-12-31 20:32,病床底下的Android,1580,14,85
JB2N7pJgW,海南DJ又称琼摇——@Re做梦厨  ,,无,无,无,2020-12-31 20:12,病床底下的Android,975,30,59
JB2AtbEgJ,现在盲道很多时候是给看手机的我准备的——@海马体-杏仁核  ,,无,无,无,2020-12-31 19:41,病床底下的Android,707,5,34
JB2ozm6ct,小王因被人骂键盘侠而改发语音——@王宝汉  ,,无,无,无,2020-12-31 19:11,病床底下的Android,776,14,37
JB2kcFHUa,老王被丧尸咬后变成了丧尸侠。——@阿木更  ,,无,无,无,2020-12-31 19:01,病床底下的Android,601,2,48
JB2byoXFt,炒股赔了的人为什么不买会涨的股票——@王宝汉  ,,无,无,无,2020-12-31 18:39,病床底下的Android,1252,26,91
JB1rNEhBd,你有#2021最想换的工作#吗？先来康康这些你可能不熟悉的新职业经历吧！！！不管你的2021是换工作还是找工作，尝是做个新职人吧！做个职场风口浪尖的最亮仔！#你会从事新兴职业吗#？  原图 ,,http://wx1.sinaimg.cn/large/006gMemDgy1gm74mcse2gj30ri1df0yf.jpg,无,无,2020-12-31 16:46,病床底下的Android,147,3,21
JB03Zlv9R,国产鬼片——无惊——@王宝汉  ,,无,无,无,2020-12-31 13:15,病床底下的Android,760,17,35
JAZJGg0Cp,太阳：对不起。 这是一个道歉日。——@轮到你笑了  ,,无,无,无,2020-12-31 12:25,病床底下的Android,1265,23,39
JAZtX7xAs,“2020年最后一天，郭老师和于老师都道歉了！”“德云社怎么了？”——@南风公公-太监笑话社社长  ,,无,无,无,2020-12-31 11:46,病床底下的Android,5097,448,141
JAZ0XCCJO,郭敬明和王老汉坐在一起郭敬明：高人竟在我身边！王老汉：抄人竟在我身边！——@惊天动地一只鸡 &@当地小有名气奥特曼  ,,无,无,无,2020-12-31 10:35,病床底下的Android,1630,24,55
JAYYmBamM,笑一笑十年少，李老汉听了一天笑话阳寿已尽——@王宝汉  ,,无,无,无,2020-12-31 10:28,病床底下的Android,1240,18,74
JAYRI851Y,「糟糕！要掉头了！」路易十六开车出门发现走错路后说道——@乾坎艮震巽离坤兑八个大铜钱  ,,无,无,无,2020-12-31 10:12,病床底下的Android,1134,17,36
JAYH0Dxy9,吃啥补啥导致骚0小明丁丁很大——@王宝汉  ,,无,无,无,2020-12-31 09:46,病床底下的Android,1903,23,129
JAYvWxPTJ,如来佛祖，永远滴神——@乾坎艮震巽离坤兑八个大铜钱  ,,无,无,无,2020-12-31 09:18,病床底下的Android,1057,16,61
JAYoYgKLz,白居易吃坏肚子被老师提醒洛阳纸贵——@王宝汉  ,,无,无,无,2020-12-31 09:01,病床底下的Android,835,10,34
JAV0g1qlI,南村群童欺我老无力   翻译：南童竟在我身边——@booook冷  ,,无,无,无,2020-12-31 00:22,病床底下的Android,1536,63,80
JAUG8nSMI,你们上班都是每周几休啊 我们是至死方休——單戈獨戰  ,,无,无,无,2020-12-30 23:33,微博 weibo.com,1042,43,62
JAUyxo7hs,为了能吃上核桃，小明特意买了一斤进口的日本福岛桃子 ——@青矢唯  ,,无,无,无,2020-12-30 23:14,微博 weibo.com,695,14,36
JAUnHoY6h,下雪不冷降温冷。 ——@x90819775  ,,无,无,无,2020-12-30 22:47,微博 weibo.com,632,10,54
JAUhMscVs,好死不如赖活着，生死簿已将一位老赖列入失信主体黑名单。——@丧失股长  ,,无,无,无,2020-12-30 22:33,微博 weibo.com,830,6,42
JAUbiB648,王警官暗访了几家洗头房，决定不告诉同事他暗访过 ——@守护最好的谐音梗  ,,无,无,无,2020-12-30 22:17,微博 weibo.com,1079,3,41
JAU5zlV4h,寡人明日要御驾亲征，宫中之事就由代驾全权处置 ——@蒼井十一  ,,无,无,无,2020-12-30 22:02,微博 weibo.com,403,2,15
JAU4YrSBY,做完选择题发现没有C的小明感叹：“Long time no C.” ——@毁灭者小粉红  ,,无,无,无,2020-12-30 22:01,微博 weibo.com,955,35,42
JATTr5XvV,睡得香甜的小明，醒来后发现蚂蚁爬满了全身。 ——@737三  ,,无,无,无,2020-12-30 21:33,微博 weibo.com,739,12,64
JATRl2M54,老妈经常对我说：漂亮的女孩子说话不可以信所以老妈说的话不可信漂亮的女孩子说话可以信——@极其护短-  ,,无,无,无,2020-12-30 21:27,微博 weibo.com,3268,180,114
JATNheVTt,人类在生物圈中属于消费者，而僵尸属于消费死者。——@环城高架  ,,无,无,无,2020-12-30 21:17,微博 weibo.com,1065,7,42
JATE9q9tB,两个家长把孩子送到了戒网中心，这俩家长在进行电子竞技 ——@守护最好的谐音梗  ,,无,无,无,2020-12-30 20:55,病床底下的Android,613,19,40
JATv4s3bx,这个杀手不太冷，但他媽觉得他冷。 ——老罗叔  ,,无,无,无,2020-12-30 20:33,微博 weibo.com,1145,34,50
JAT6IwmOK,冥婚之后老婆投胎了要不要在生死簿上填丧偶？——@Arbor-Druid  ,,无,无,无,2020-12-30 19:33,微博 weibo.com,1191,10,38
JASImxooo,低情商:恶之花绽放的土地高情商:今夜我们都是美国人 ——@737三  ,,无,无,无,2020-12-30 18:33,微博 weibo.com,3675,102,124
JASk0CO19,女生宿舍里的关系亲密无间，堪称无间道。——@丧失股长  ,,无,无,无,2020-12-30 17:33,微博 weibo.com,957,10,44
JARVF04sR,喷人的时候输入法坏了，就像战士打仗没带枪！ ——王润0009  ,,无,无,无,2020-12-30 16:33,微博 weibo.com,837,8,62
JARxiCELw,我从猫眼里看见了自己 ——@737三  ,,无,无,无,2020-12-30 15:33,微博 weibo.com,1012,14,60
JARoneKFv,在印度，摩托车又被称为陆地航母。 ——大波子汽水  ,,无,无,无,2020-12-30 15:11,微博 weibo.com,747,2,38
JAR8X277R,稍微有点脑子的人都知道，自己有脑子 ——淦乃凉  ,,无,无,无,2020-12-30 14:33,微博 weibo.com,1191,11,70
JAQKB0W2s,一个食人族意识到他自己也是人，第二天他就消失了 ——混沌风暴  ,,无,无,无,2020-12-30 13:33,微博 weibo.com,1568,26,77
JAQBFk5Yq,以后不吃垃圾食品了，毕竟吃自己同类是件残忍的事情——灰机儿丶  ,,无,无,无,2020-12-30 13:11,微博 weibo.com,1084,119,56
JAQmf8yLy,喜欢盲盒的是不是都是盲人？ ——半灵-妖梦  ,,无,无,无,2020-12-30 12:33,微博 weibo.com,1066,13,64
JAPXT9Ahy,广岛：男童竟在我身边！——_老乌风_  ,,无,无,无,2020-12-30 11:33,微博 weibo.com,1259,29,88
JAPOXl2Jt,你不是我，你怎么知道你不是我？——刘厂长EIE  ,,无,无,无,2020-12-30 11:11,微博 weibo.com,715,22,70
JAPzx7iSY,国际空间站侧翻遭到太空人哄抢 ——ATUD  ,,无,无,无,2020-12-30 10:33,微博 weibo.com,1079,20,49
JAPlWnHzX,我睡眠质量不好，一睁眼就醒来了。——@上帝说尼采封了  ,,无,无,无,2020-12-30 09:59,病床底下的Android,928,9,50
JAPbbcIwq,秦始皇焚书坑儒，所以他也是反孔精英——@咩哈哈altime  ,,无,无,无,2020-12-30 09:33,微博 weibo.com,3798,460,128
JAP2fqnBX,孙悟空在唐僧周围画了一个圈，这就是饭圈的由来。——@心理史學創始人哈里謝頓  ,,无,无,无,2020-12-30 09:11,微博 weibo.com,1287,13,77
JAP0y0sYM,眼科医生是哈姆雷特的接生医生 ——@守护最好的谐音梗  ,,无,无,无,2020-12-30 09:06,病床底下的Android,502,5,27
JAOMPcDXI,不孝子孙！老祖宗留下的电视音量你说改就改？——此吧右上角之父  ,,无,无,无,2020-12-30 08:33,微博 weibo.com,1353,14,44
JALe2xt9y,火机里装的是什么气体，为什么闻起来有一股烧焦的鼻毛味——我来组成经验  ,,无,无,无,2020-12-29 23:29,微博 weibo.com,1633,68,65
JAKjcytki,#弱智吧每周最佳# 2021年第2周，候选人来自转评赞数据，这周起评论区优秀评论也会参与到投票来，还是四选一，大家投吧！1.阴间规定:禁止过阳节2.加了凶手微信好友的王警官终于在一次追捕行动中超过了凶手的微信步数。  评论1：不是很懂，如果只是比步数的话为什么不让蜈蚣来当警察呢？  评论2：因为蜈蚣不受禄3.卑鄙是卑鄙者的前两个字，高尚是高尚者的前两个字。4.“说一句没有十年脑溢血说不出来的话。” “我有十年脑溢血。” 2021年第2周                                 ,,无,无,无,2020-12-29 21:09,病床底下的Android,16435,228,316
JAK2WBWcW,打胎的明星——杀娃滴咖。——@上帝说尼采封了  ,,无,无,无,2020-12-29 20:29,微博 weibo.com,626,3,22
JAJwMD6Qc,拥有巨物恐惧症的我上厕所时从来不敢低头——长坂战神刘禅  ,,无,无,无,2020-12-29 19:09,病床底下的Android,2336,17,113
JAJioxI4g,你刚才说有福同享，有难同当，所以我们这家店以后就叫难同客栈吧 ——@炸过的花椒实在是太难吃了  ,,无,无,无,2020-12-29 18:34,病床底下的Android,993,29,64
JAJd4tRQr,汽车喇叭音都是“弟弟”实在太单调了，建议加上“妹妹”“哥哥”“姐姐”。 ——@737三  ,,无,无,无,2020-12-29 18:21,病床底下的Android,1285,7,89
JAJ9m28uI,传说女娲造人的时候是照着自己在水中的倒影做的，我通过观察镜子的方式证明了女娲是个丑逼 ——@炸过的花椒实在是太难吃了  ,,无,无,无,2020-12-29 18:12,病床底下的Android,1116,6,43
JAJ2i4M6f,连百度都不会，你不会百度吗？ ——@雲升月墨  ,,无,无,无,2020-12-29 17:54,病床底下的Android,959,22,47
JAIP1F3PQ,大气层就是地球的空气刘海。 ——@丧失股长  ,,无,无,无,2020-12-29 17:22,病床底下的Android,574,6,38
JAIyPBeQP,历史书都是根据真人真事改编的。 ——@WithMeNow  ,,无,无,无,2020-12-29 16:42,病床底下的Android,1677,38,76
JAIbeDrXf,我从来不跟别人击掌，因为我自己就是个废物。 ——@UNEDEUXTROIS  ,,无,无,无,2020-12-29 15:43,病床底下的Android,672,14,40
JAI6M2GBn,"好人有好报,恶人有恶报,所以你找情报应该去情人那里找 ——@人民日扳  ",,无,无,无,2020-12-29 15:32,病床底下的Android,1469,45,55
JAHKL9YTp,"厕所堵了吗？""勉强能冲。——@找打bot  ",,无,无,无,2020-12-29 14:38,病床底下的Android,844,8,38
JAHEz2J3o,按摩师通过自己产生乳酸，去帮助别人分解乳酸。所以按摩师其实是 乳酸转移师——@爱打醬油的朱杰  ,,无,无,无,2020-12-29 14:23,病床底下的Android,694,13,36
JAHx2rDpO,抛弃幻想，继续幻想——@帅帅的滕199203  ,,无,无,无,2020-12-29 14:04,病床底下的Android,565,24,26
JAHu6rmo4,小时候我不想吃晚饭，我妈妈就和我吵架，最后罚我不许吃晚饭——@圣德太子的威严笏板  ,,无,无,无,2020-12-29 13:57,病床底下的Android,960,18,33
JAHqF7TQx,男人到死都是活人——@林克啊LINK  ,,无,无,无,2020-12-29 13:49,病床底下的Android,1154,12,92
JAGFmABwK,劫匪们注意了！车后出现红蓝交替灯光，是警察对你发出的警报 ——@守护最好的谐音梗  ,,无,无,无,2020-12-29 11:52,微博 weibo.com,1286,9,38
JAGpe5JIz,如果我有罪请让法律惩罚我，而不是将我无罪释放。 ——@心理史學創始人哈里謝頓  ,,无,无,无,2020-12-29 11:12,微博 weibo.com,1068,47,59
JAGiWD4TR,我一个偷袭，年轻牛仔变成了年轻人。——@李十炜  ,,无,无,无,2020-12-29 10:57,病床底下的Android,1132,22,66
JAGfjdSfy,台湾人是厚大的，罗翔也是厚大的。这中间一定有什么关联。 ——@阿G夏天版  ,,无,无,无,2020-12-29 10:48,病床底下的Android,2474,34,156
JAG30uvFw,印度为什么让一个叫莫迪的老西安当总理？——@狂舞的金牛  ,,无,无,无,2020-12-29 10:18,病床底下的Android,474,9,50
JAERXbpYp,小李因为太过于注意安全，忽略了旁边的危险。 ——@拣刀布  ,,无,无,无,2020-12-29 07:18,病床底下的Android,1073,31,32
JABP8EJ99,诗原标题应该是：《山东兄弟忆九月九日》——@心理史學創始人哈里謝頓  ,,无,无,无,2020-12-28 23:33,微博 weibo.com,1182,33,110
JABGdfH4u,我二舅上个月已经战胜了病魔，为什么我还会生病？——每天抬头见喜  ,,无,无,无,2020-12-28 23:11,微博 weibo.com,2034,43,79
JABqN5fUW,人一旦快xia了，就只能感受光点了。——风使卡蒂娅  ,,无,无,无,2020-12-28 22:33,微博 weibo.com,3447,63,155
JABhRhOIg,有特殊xp的小明特别喜欢开地图炮——坟hk  ,,无,无,无,2020-12-28 22:11,微博 weibo.com,983,7,57
JAB2r7nIF,汉语是一门很优美的语言，因为一部分字打出来会变成星星 ——@POWEHI1015  ,,无,无,无,2020-12-28 21:33,微博 weibo.com,2191,162,108
JAATvjWgG,在冬天，口臭会被可视化。——米加勒的风信子  ,,无,无,无,2020-12-28 21:11,微博 weibo.com,692,9,33
JAAE58oEc,小明拒绝零和博弈，然后和零博弈。——go我爱打豆豆  ,,无,无,无,2020-12-28 20:33,微博 weibo.com,548,9,38
JAAv9iLgc,还不错，还不错，还不错？还不错？”王老师改差生的卷子时连连惊叹！——@心理史學創始人哈里謝頓  ,,无,无,无,2020-12-28 20:11,微博 weibo.com,1142,26,37
JAAfJbCCq,铁幕徐徐落下，这家小店关门了。——@丧失股长  ,,无,无,无,2020-12-28 19:33,微博 weibo.com,926,13,50
JAA6Nn54v,黑人演员的限制级视频又称尼头车——每天抬头见喜  ,,无,无,无,2020-12-28 19:11,微博 weibo.com,492,7,33
JAzRnarxz,“真是高明的太阳啊！”老王夸道。——@心理史學創始人哈里謝頓  ,,无,无,无,2020-12-28 18:33,微博 weibo.com,544,6,36
JAzIrqiN3,吸血鬼会害怕东北银吗——@炸过的花椒实在是太难吃了  ,,无,无,无,2020-12-28 18:11,微博 weibo.com,1154,30,52
JAzt1fS4X,火化也太危险了，每次火化都会烧死人。——@737三  ,,无,无,无,2020-12-28 17:33,微博 weibo.com,830,19,69
JAzk5p7Qi,王老汉用二向箔进入二次元不料二次元的人早已通过一根筋 ——混沌风暴  ,,无,无,无,2020-12-28 17:11,微博 weibo.com,465,11,26
JAyVJwK8t,台湾：我先放一个基隆在这里。 ——张脑丸  ,,无,无,无,2020-12-28 16:11,微博 weibo.com,1464,15,60
JAyxpyxvw,疫情期间，连刑天也穿上了肚兜。  ——@737三  ,,无,无,无,2020-12-28 15:11,微博 weibo.com,747,9,40
JAy91zT7a,秦时明月汉时关，千里江陵一日还 两岸猿声啼不住，不教胡马渡阴山——张脑丸  ,,无,无,无,2020-12-28 14:11,微博 weibo.com,1600,30,91
JAxKFAUGn,匡衡之所以学有所成也有他邻居迪迦的功劳 ——张脑丸  ,,无,无,无,2020-12-28 13:11,微博 weibo.com,1521,20,61
JAxmjAPQh,从事自杀活动时需本人到场。——@心理史學創始人哈里謝頓  ,,无,无,无,2020-12-28 12:11,微博 weibo.com,1456,23,60
JAwXY0ifI,闹出人命了究竟是指多了一个生命还是指少了一个生命——一个顶呱呱  ,,无,无,无,2020-12-28 11:11,微博 weibo.com,1263,10,57
JAwvmEJ2O,双一流也就是二流 ——即食男友  ,,无,无,无,2020-12-28 10:00,微博 weibo.com,2188,57,86
JAsoEaZob,观音使用了通感的方法 ——月夜魔术师  ,,无,无,无,2020-12-27 23:33,微博 weibo.com,998,20,47
JAs0iaUmr,我说的就是正主，我不明白为什么非要下降到粉丝——用户您太长  ,,无,无,无,2020-12-27 22:33,微博 weibo.com,4334,34,150
JArBWe8EL,经过缜密推理，王警官认定这是一起谋杀，因为死尸不会自己上吊。 ——水梳葉月  ,,无,无,无,2020-12-27 21:33,微博 weibo.com,881,8,56
JArdAgfG2,关羽刮骨疗毒，华佗刮目相看。——@心理史學創始人哈里謝頓  ,,无,无,无,2020-12-27 20:33,微博 weibo.com,881,23,52
